Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Assuncao vs. Moraes 2,Renato Moicano ,Jose Aldo ,Featherweight Bout, KO/TKO ,2,0:44,3 Rnd (5-5-5),Jerin Valel,Punches to Head At Distance,Jose Aldo ,0,26,50,52%,26 of 50,0,0,---,0,0,0:00,18 of 36,6 of 9,2 of 5,19 of 43,7 of 7,0 of 0,Renato Moicano ,0,24,53,45%,24 of 53,0,0,---,0,0,0:00,17 of 40,1 of 4,6 of 9,24 of 53,0 of 0,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,Raphael Assuncao ,Marlon Moraes ,Bantamweight Bout, Submission ,1,3:17,5 Rnd (5-5-5-5-5),Jason Herzog,Guillotine Choke On Ground,Raphael Assuncao ,0,2,12,16%,3 of 13,0,0,---,0,0,0:00,1 of 10,0 of 0,1 of 2,2 of 12,0 of 0,0 of 0,Marlon Moraes ,1,10,23,43%,12 of 25,0,0,---,1,0,1:15,8 of 17,0 of 2,2 of 4,7 of 18,0 of 0,3 of 5
UFC Fight Night: Cejudo vs. Dillashaw,Belal Muhammad ,Geoff Neal ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Sal D'amato 28 - 29. Eric Colon 27 - 30. Tim Corrado 27 - 30.,Belal Muhammad ,0,63,204,30%,64 of 205,0,7,0%,0,0,0:23,39 of 163,18 of 34,6 of 7,59 of 193,4 of 11,0 of 0,Geoff Neal ,2,71,190,37%,71 of 190,0,0,---,0,0,0:57,61 of 178,8 of 10,2 of 2,55 of 162,11 of 18,5 of 10
UFC Fight Night: Cejudo vs. Dillashaw,Te Edwards ,Dennis Bermudez ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Doug Crosby 26 - 30. Sal D'amato 26 - 30. Darryl Porter 26 - 30.,Dennis Bermudez ,0,63,122,51%,83 of 147,5,9,55%,2,0,0:42,42 of 96,12 of 13,9 of 13,27 of 64,3 of 10,33 of 48,Te Edwards ,1,23,56,41%,24 of 57,0,0,---,0,0,8:42,16 of 46,3 of 5,4 of 5,15 of 41,4 of 4,4 of 11
UFC Fight Night: Cejudo vs. Dillashaw,Mario Bautista ,Cory Sandhagen ,Bantamweight Bout, Submission ,1,3:31,3 Rnd (5-5-5),Kevin MacDonald,Armbar On Ground,Cory Sandhagen ,1,17,54,31%,17 of 55,1,2,50%,2,0,0:39,9 of 43,2 of 3,6 of 8,13 of 47,0 of 0,4 of 7,Mario Bautista ,0,9,30,30%,10 of 32,1,1,100%,0,0,0:54,4 of 22,3 of 4,2 of 4,9 of 29,0 of 1,0 of 0
UFC Fight Night: Cejudo vs. Dillashaw,Vinicius Moreira ,Alonzo Menifield ,Light Heavyweight Bout, KO/TKO ,1,3:56,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Alonzo Menifield ,1,33,60,55%,35 of 62,0,0,---,0,0,0:29,32 of 59,0 of 0,1 of 1,24 of 46,0 of 0,9 of 14,Vinicius Moreira ,0,11,21,52%,12 of 22,0,4,0%,0,0,1:20,0 of 6,6 of 9,5 of 6,8 of 16,3 of 5,0 of 0
UFC Fight Night: Cejudo vs. Dillashaw,Ariane Lipski ,Joanne Calderwood ,Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Darryl Porter 26 - 30. Sal D'amato 26 - 30. Dave Tirelli 27 - 30.,Joanne Calderwood ,0,85,172,49%,121 of 213,1,3,33%,2,1,4:36,47 of 117,18 of 32,20 of 23,57 of 136,14 of 19,14 of 17,Ariane Lipski ,0,53,154,34%,69 of 171,1,1,100%,0,0,3:18,29 of 115,19 of 26,5 of 13,42 of 140,10 of 13,1 of 1
UFC Fight Night: Cejudo vs. Dillashaw,Alexander Hernandez ,Donald Cerrone ,Lightweight Bout, KO/TKO ,2,3:43,3 Rnd (5-5-5),Todd Ronald Anderson,Kick to Head At Distance,Alexander Hernandez ,0,49,105,46%,54 of 110,0,2,0%,0,0,0:22,20 of 59,25 of 42,4 of 4,32 of 82,17 of 23,0 of 0,Donald Cerrone ,1,80,162,49%,81 of 163,1,1,100%,0,0,0:29,58 of 136,18 of 22,4 of 4,52 of 124,14 of 22,14 of 16
UFC Fight Night: Cejudo vs. Dillashaw,Karl Roberson ,Glover Teixeira ,Light Heavyweight Bout, Submission ,1,3:21,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Side Control,Glover Teixeira ,0,6,11,54%,20 of 26,1,3,33%,1,0,1:46,6 of 11,0 of 0,0 of 0,0 of 3,0 of 0,6 of 8,Karl Roberson ,1,24,30,80%,29 of 35,0,0,---,0,0,0:42,22 of 28,2 of 2,0 of 0,1 of 3,6 of 6,17 of 21
UFC Fight Night: Cejudo vs. Dillashaw,Rachael Ostovich ,Paige VanZant ,Women's Flyweight Bout, Submission ,2,1:50,3 Rnd (5-5-5),Kevin MacDonald,Armbar On Ground,Paige VanZant ,0,17,27,62%,38 of 56,0,1,0%,2,0,4:32,13 of 23,1 of 1,3 of 3,5 of 13,0 of 0,12 of 14,Rachael Ostovich ,0,10,14,71%,13 of 18,4,4,100%,0,0,0:51,7 of 11,2 of 2,1 of 1,8 of 11,0 of 0,2 of 3
UFC Fight Night: Cejudo vs. Dillashaw,Dustin Ortiz ,Joseph Benavidez ,Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Doug Crosby 28 - 29. Darryl Porter 28 - 29. Tim Corrado 28 - 29.,Joseph Benavidez ,1,21,50,42%,37 of 72,7,12,58%,0,2,6:50,7 of 30,6 of 8,8 of 12,20 of 44,0 of 2,1 of 4,Dustin Ortiz ,0,49,87,56%,93 of 136,3,8,37%,0,1,3:03,21 of 54,28 of 32,0 of 1,20 of 55,22 of 23,7 of 9
UFC Fight Night: Cejudo vs. Dillashaw,Yancy Medeiros ,Gregor Gillespie ,Lightweight Bout, KO/TKO ,2,4:59,3 Rnd (5-5-5),Todd Ronald Anderson,Punches to Head From Back Control,Gregor Gillespie ,0,51,71,71%,73 of 95,6,11,54%,0,1,8:48,38 of 58,10 of 10,3 of 3,1 of 11,6 of 9,44 of 51,Yancy Medeiros ,0,1,12,8%,1 of 12,0,0,---,0,1,0:07,1 of 11,0 of 1,0 of 0,1 of 11,0 of 0,0 of 1
UFC Fight Night: Cejudo vs. Dillashaw,Greg Hardy ,Allen Crowder ,Heavyweight Bout, DQ ,2,2:28,3 Rnd (5-5-5),Dan Miragliotta,Illegal Knee by Hardy,Greg Hardy ,0,29,64,45%,35 of 70,0,0,---,0,0,1:16,21 of 56,5 of 5,3 of 3,17 of 51,6 of 7,6 of 6,Allen Crowder ,0,12,30,40%,16 of 34,1,3,33%,1,0,2:22,12 of 30,0 of 0,0 of 0,8 of 25,1 of 2,3 of 3
UFC Fight Night: Cejudo vs. Dillashaw,TJ Dillashaw ,Henry Cejudo ,UFC Flyweight Title Bout, KO/TKO ,1,0:32,5 Rnd (5-5-5-5-5),Kevin MacDonald,Punches to Head On Ground,Henry Cejudo ,1,18,23,78%,18 of 23,0,0,---,0,0,0:00,17 of 22,1 of 1,0 of 0,3 of 6,0 of 0,15 of 17,TJ Dillashaw ,0,1,3,33%,1 of 3,0,0,---,0,0,0:09,0 of 1,0 of 0,1 of 2,1 of 3,0 of 0,0 of 0
UFC 232: Jones vs. Gustafsson 2,Siyar Bahadurzada ,Curtis Millender ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato 28 - 29. Dave Hagen 28 - 29. Mike Bell 27 - 30.,Curtis Millender ,0,89,165,53%,91 of 167,0,0,---,0,0,0:17,59 of 112,8 of 20,22 of 33,84 of 160,5 of 5,0 of 0,Siyar Bahadurzada ,0,40,121,33%,65 of 149,3,7,42%,0,0,3:14,30 of 98,4 of 14,6 of 9,29 of 104,2 of 5,9 of 12
UFC 232: Jones vs. Gustafsson 2,Bevon Lewis ,Uriah Hall ,Middleweight Bout, KO/TKO ,3,1:32,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,Uriah Hall ,1,39,88,44%,42 of 91,0,0,---,0,0,0:01,13 of 48,5 of 13,21 of 27,39 of 88,0 of 0,0 of 0,Bevon Lewis ,0,68,157,43%,77 of 168,0,0,---,0,0,2:09,27 of 100,4 of 9,37 of 48,56 of 139,12 of 18,0 of 0
UFC 232: Jones vs. Gustafsson 2,Andre Ewell ,Nathaniel Wood ,Bantamweight Bout, Submission ,3,4:12,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Nathaniel Wood ,1,61,114,53%,171 of 234,2,3,66%,1,0,8:35,32 of 71,16 of 17,13 of 26,28 of 72,4 of 5,29 of 37,Andre Ewell ,0,15,58,25%,18 of 62,0,0,---,0,0,0:00,10 of 43,5 of 15,0 of 0,13 of 54,2 of 4,0 of 0
UFC 232: Jones vs. Gustafsson 2,BJ Penn ,Ryan Hall ,Lightweight Bout, Submission ,1,2:46,3 Rnd (5-5-5),Ed Collantes,Heel Hook After Drop to Ground,BJ Penn ,0,3,8,37%,8 of 15,0,0,---,0,0,1:34,1 of 5,1 of 1,1 of 2,2 of 5,0 of 0,1 of 3,Ryan Hall ,0,6,15,40%,8 of 19,0,0,---,1,0,0:00,0 of 7,1 of 2,5 of 6,6 of 14,0 of 1,0 of 0
UFC 232: Jones vs. Gustafsson 2,Douglas Silva de Andrade ,Petr Yan ,Bantamweight Bout, KO/TKO ,2,5:00,3 Rnd (5-5-5),Mark Smith,to Corner stoppage,Douglas Silva de Andrade ,0,28,77,36%,28 of 77,0,1,0%,0,0,0:00,13 of 44,10 of 20,5 of 13,26 of 75,2 of 2,0 of 0,Petr Yan ,0,76,118,64%,101 of 145,3,4,75%,1,0,3:37,49 of 86,23 of 27,4 of 5,42 of 78,8 of 8,26 of 32
UFC 232: Jones vs. Gustafsson 2,Cat Zingano ,Megan Anderson ,Women's Featherweight Bout, KO/TKO ,1,1:01,3 Rnd (5-5-5),Marc Goddard,Kick to Head At Distance Eye Injury to Zingano,Cat Zingano ,0,3,6,50%,3 of 6,0,0,---,0,0,0:00,0 of 1,0 of 0,3 of 5,3 of 6,0 of 0,0 of 0,Megan Anderson ,0,3,9,33%,3 of 9,0,0,---,0,0,0:00,2 of 8,1 of 1,0 of 0,3 of 9,0 of 0,0 of 0
UFC 232: Jones vs. Gustafsson 2,Chad Mendes ,Alexander Volkanovski ,Featherweight Bout, KO/TKO ,2,4:14,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,Chad Mendes ,1,28,51,54%,28 of 51,3,4,75%,0,0,0:45,16 of 37,6 of 7,6 of 7,24 of 46,4 of 5,0 of 0,Alexander Volkanovski ,1,54,124,43%,54 of 124,0,0,---,0,0,0:08,36 of 91,10 of 19,8 of 14,46 of 113,5 of 8,3 of 3
UFC 232: Jones vs. Gustafsson 2,Ilir Latifi ,Corey Anderson ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29. Wade Vierra 28 - 29. Junichiro Kamijo 28 - 29.,Ilir Latifi ,0,33,78,42%,34 of 79,0,4,0%,0,0,0:46,23 of 66,3 of 5,7 of 7,23 of 62,10 of 16,0 of 0,Corey Anderson ,0,40,121,33%,45 of 127,0,4,0%,0,0,0:23,24 of 93,11 of 22,5 of 6,38 of 114,2 of 7,0 of 0
UFC 232: Jones vs. Gustafsson 2,Carlos Condit ,Michael Chiesa ,Welterweight Bout, Submission ,2,0:56,3 Rnd (5-5-5),Mike Beltran,Kimura From Half Guard,Carlos Condit ,0,5,24,20%,20 of 39,0,0,---,1,1,0:18,2 of 18,2 of 5,1 of 1,2 of 18,2 of 4,1 of 2,Michael Chiesa ,0,10,22,45%,16 of 33,4,5,80%,1,0,4:12,8 of 20,2 of 2,0 of 0,2 of 8,2 of 2,6 of 12
UFC 232: Jones vs. Gustafsson 2,Cristiane Justino ,Amanda Nunes ,UFC Women's Featherweight Title Bout, KO/TKO ,1,0:51,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance,Cristiane Justino ,0,3,15,20%,3 of 15,0,1,0%,0,0,0:00,1 of 12,2 of 3,0 of 0,3 of 14,0 of 1,0 of 0,Amanda Nunes ,2,13,21,61%,13 of 21,0,0,---,0,0,0:01,12 of 20,0 of 0,1 of 1,12 of 19,1 of 2,0 of 0
UFC 232: Jones vs. Gustafsson 2,Alexander Gustafsson ,Jon Jones ,UFC Light Heavyweight Title Bout, KO/TKO ,3,2:02,5 Rnd (5-5-5-5-5),Mike Beltran,Punches to Head From Back Control,Jon Jones ,0,59,102,57%,63 of 106,1,5,20%,0,0,1:29,26 of 52,15 of 22,18 of 28,40 of 81,7 of 8,12 of 13,Alexander Gustafsson ,0,22,83,26%,24 of 85,0,0,---,0,0,0:00,12 of 62,4 of 11,6 of 10,19 of 80,3 of 3,0 of 0
UFC Fight Night: Lee vs. Iaquinta,Adam Milstead ,Mike Rodriguez ,Light Heavyweight Bout, KO/TKO ,1,2:59,3 Rnd (5-5-5),Rob Hinds,Knee to Body At Distance,Adam Milstead ,0,10,21,47%,22 of 34,0,0,---,0,0,0:00,5 of 16,2 of 2,3 of 3,9 of 20,0 of 0,1 of 1,Mike Rodriguez ,2,35,42,83%,44 of 53,0,0,---,0,0,1:52,25 of 30,8 of 10,2 of 2,16 of 23,5 of 5,14 of 14
UFC Fight Night: Lee vs. Iaquinta,Jordan Griffin ,Dan Ige ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Joe Fipp,Brian Puccillo 28 - 29. Chris Lee 28 - 29. Richard Winter 28 - 29.,Dan Ige ,0,56,107,52%,86 of 144,3,7,42%,0,1,6:53,46 of 95,7 of 8,3 of 4,20 of 53,4 of 4,32 of 50,Jordan Griffin ,0,56,107,52%,71 of 123,0,2,0%,1,1,4:00,49 of 100,7 of 7,0 of 0,31 of 65,4 of 4,21 of 38
UFC Fight Night: Lee vs. Iaquinta,Trevor Smith ,Zak Cummings ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29. Gabriel Sabaitis 28 - 29. Larry Struck 28 - 29.,Trevor Smith ,0,54,103,52%,73 of 128,0,0,---,0,1,2:06,42 of 85,11 of 14,1 of 4,41 of 81,5 of 9,8 of 13,Zak Cummings ,1,56,139,40%,63 of 147,0,5,0%,0,0,2:05,30 of 108,9 of 11,17 of 20,48 of 128,4 of 7,4 of 4
UFC Fight Night: Lee vs. Iaquinta,Gerald Meerschaert ,Jack Hermansson ,Middleweight Bout, Submission ,1,4:25,3 Rnd (5-5-5),Robert Madrigal,Guillotine Choke On Ground,Gerald Meerschaert ,0,1,2,50%,1 of 2,0,2,0%,0,1,0:15,0 of 1,1 of 1,0 of 0,0 of 1,1 of 1,0 of 0,Jack Hermansson ,0,41,59,69%,53 of 73,1,2,50%,1,0,3:58,37 of 54,3 of 4,1 of 1,1 of 1,2 of 3,38 of 55
UFC Fight Night: Lee vs. Iaquinta,Jared Gordon ,Joaquim Silva ,Lightweight Bout, KO/TKO ,3,2:39,3 Rnd (5-5-5),Rob Hinds,Punches to Head At Distance,Jared Gordon ,0,116,194,59%,149 of 228,3,8,37%,0,0,4:25,94 of 166,10 of 15,12 of 13,88 of 163,13 of 15,15 of 16,Joaquim Silva ,0,95,191,49%,121 of 218,1,1,100%,2,0,0:39,54 of 138,30 of 42,11 of 11,78 of 172,15 of 17,2 of 2
UFC Fight Night: Lee vs. Iaquinta,Bobby Green ,Drakkar Klose ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29. Richard Winter 28 - 29. Brian Puccillo 28 - 29.,Bobby Green ,0,92,154,59%,110 of 176,1,4,25%,1,0,3:41,39 of 91,27 of 31,26 of 32,69 of 126,13 of 15,10 of 13,Drakkar Klose ,0,58,131,44%,69 of 143,0,6,0%,0,0,0:55,26 of 89,12 of 16,20 of 26,45 of 114,9 of 11,4 of 6
UFC Fight Night: Lee vs. Iaquinta,Dwight Grant ,Zak Ottow ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Rob Hinds,Brian Puccillo 29 - 28. Chris Lee 28 - 29. Richard Winter 28 - 29.,Zak Ottow ,0,14,71,19%,22 of 82,1,6,16%,0,0,2:54,5 of 53,7 of 14,2 of 4,11 of 67,2 of 3,1 of 1,Dwight Grant ,0,25,84,29%,33 of 93,1,1,100%,0,0,0:20,15 of 71,7 of 9,3 of 4,19 of 77,5 of 6,1 of 1
UFC Fight Night: Lee vs. Iaquinta,Jim Miller ,Charles Oliveira ,Lightweight Bout, Submission ,1,1:15,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,Jim Miller ,0,1,2,50%,1 of 2,0,0,---,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0,Charles Oliveira ,0,0,1,0%,1 of 2,1,1,100%,1,0,0:47,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0
UFC Fight Night: Lee vs. Iaquinta,Sergio Pettis ,Rob Font ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Robert Madrigal,Brian Puccillo 27 - 30. Richard Winter 27 - 30. Chris Lee 27 - 30.,Rob Font ,0,111,247,44%,118 of 255,2,4,50%,1,1,4:51,79 of 212,25 of 28,7 of 7,102 of 227,1 of 1,8 of 19,Sergio Pettis ,0,71,185,38%,88 of 206,1,2,50%,0,0,0:16,53 of 165,7 of 9,11 of 11,71 of 183,0 of 0,0 of 2
UFC Fight Night: Lee vs. Iaquinta,Dan Hooker ,Edson Barboza ,Lightweight Bout, KO/TKO ,3,2:19,3 Rnd (5-5-5),Rob Hinds,Punches to Body At Distance,Edson Barboza ,1,126,226,55%,127 of 227,0,1,0%,0,0,1:43,71 of 160,36 of 43,19 of 23,117 of 215,9 of 11,0 of 0,Dan Hooker ,0,81,204,39%,111 of 234,0,1,0%,0,0,0:05,59 of 161,12 of 29,10 of 14,78 of 198,3 of 6,0 of 0
UFC Fight Night: Lee vs. Iaquinta,Kevin Lee ,Al Iaquinta ,Lightweight Bout, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Sal D'amato 47 - 48. Brian Puccillo 47 - 48. Chris Lee 46 - 49.,Kevin Lee ,0,102,296,34%,121 of 319,3,5,60%,0,0,5:25,40%,18 of 45,0 of 1,0%,0,0,Al Iaquinta ,0,111,228,48%,113 of 230,0,7,0%,0,0,0:14,62%,33 of 53,0 of 0,---,0,0
UFC 231: Holloway vs. Ortega,Kyle Nelson ,Diego Ferreira ,Lightweight Bout, KO/TKO ,2,1:23,3 Rnd (5-5-5),Ivan Svec,Punches to Head From Mount,Diego Ferreira ,0,54,102,52%,63 of 112,2,4,50%,1,0,3:28,42 of 87,8 of 11,4 of 4,27 of 55,1 of 1,26 of 46,Kyle Nelson ,0,20,50,40%,20 of 50,0,0,---,0,0,0:14,12 of 37,6 of 10,2 of 3,19 of 48,1 of 1,0 of 1
UFC 231: Holloway vs. Ortega,Chad Laprise ,Dhiego Lima ,Welterweight Bout, KO/TKO ,1,1:37,3 Rnd (5-5-5),Graham Bettes,Punch to Head At Distance,Chad Laprise ,0,8,16,50%,8 of 16,0,0,---,0,0,0:00,2 of 9,0 of 1,6 of 6,8 of 16,0 of 0,0 of 0,Dhiego Lima ,1,5,25,20%,5 of 25,0,0,---,0,0,0:02,4 of 23,1 of 1,0 of 1,5 of 25,0 of 0,0 of 0
UFC 231: Holloway vs. Ortega,Matthew Lopez ,Brad Katona ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Brian Beauchamp,Patrick Goulah 27 - 30. Jason Rodgers 28 - 29.   28 - 29.,Brad Katona ,0,76,158,48%,86 of 170,0,3,0%,0,0,0:13,40 of 106,12 of 26,24 of 26,67 of 146,4 of 6,5 of 6,Matthew Lopez ,0,69,142,48%,79 of 155,4,6,66%,1,0,0:55,41 of 99,17 of 31,11 of 12,65 of 134,3 of 6,1 of 2
UFC 231: Holloway vs. Ortega,Eryk Anders ,Elias Theodorou ,Middleweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Christopher Doyle 28 - 29. Benoit Roussel 29 - 28. Sal D'amato 28 - 29.,Elias Theodorou ,0,92,211,43%,102 of 221,0,3,0%,0,0,0:36,31 of 127,31 of 42,30 of 42,64 of 171,28 of 40,0 of 0,Eryk Anders ,1,65,133,48%,66 of 134,0,1,0%,0,0,0:23,54 of 116,10 of 16,1 of 1,48 of 105,17 of 28,0 of 0
UFC 231: Holloway vs. Ortega,Katlyn Chookagian ,Jessica Eye ,Women's Flyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Declan Woods 28 - 29. Benoit Roussel 29 - 28. Gregory Jackson 28 - 29.,Katlyn Chookagian ,0,65,201,32%,70 of 207,0,0,---,0,0,0:50,51 of 180,9 of 15,5 of 6,49 of 182,8 of 9,8 of 10,Jessica Eye ,0,81,190,42%,83 of 192,0,3,0%,0,0,0:20,39 of 127,24 of 42,18 of 21,70 of 174,11 of 16,0 of 0
UFC 231: Holloway vs. Ortega,Olivier Aubin-Mercier ,Gilbert Burns ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Eric Colon 27 - 30. Declan Woods 27 - 30. Sal D'amato 28 - 29.,Olivier Aubin-Mercier ,0,40,96,41%,42 of 98,0,0,---,0,0,0:51,35 of 88,5 of 8,0 of 0,37 of 93,3 of 3,0 of 0,Gilbert Burns ,1,76,143,53%,120 of 190,3,7,42%,0,0,6:17,57 of 121,16 of 17,3 of 5,37 of 95,6 of 6,33 of 42
UFC 231: Holloway vs. Ortega,Claudia Gadelha ,Nina Ansaroff ,Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Declan Woods 28 - 29. David Therien 28 - 29. Gregory Jackson 28 - 29.,Claudia Gadelha ,0,49,112,43%,85 of 149,2,10,20%,0,0,3:20,45 of 106,3 of 4,1 of 2,38 of 97,4 of 8,7 of 7,Nina Ansaroff ,0,96,211,45%,123 of 238,0,0,---,0,0,0:00,62 of 173,5 of 9,29 of 29,91 of 205,5 of 6,0 of 0
UFC 231: Holloway vs. Ortega,Jimi Manuwa ,Thiago Santos ,Light Heavyweight Bout, KO/TKO ,2,0:41,3 Rnd (5-5-5),Todd Ronald Anderson,Punch to Head In Clinch,Jimi Manuwa ,0,27,42,64%,30 of 45,0,2,0%,0,0,2:25,15 of 30,12 of 12,0 of 0,8 of 20,17 of 19,2 of 3,Thiago Santos ,2,42,74,56%,65 of 97,1,3,33%,0,0,1:20,27 of 58,13 of 14,2 of 2,20 of 45,22 of 28,0 of 1
UFC 231: Holloway vs. Ortega,Kyle Bochniak ,Hakeem Dawodu ,Featherweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Benoit Roussel 29 - 28. Eric Colon 27 - 30. Jason Rodgers 27 - 30.,Hakeem Dawodu ,0,103,212,48%,103 of 212,0,0,---,0,0,0:02,51 of 146,35 of 48,17 of 18,99 of 208,4 of 4,0 of 0,Kyle Bochniak ,0,42,109,38%,47 of 114,2,12,16%,0,0,1:51,27 of 79,4 of 9,11 of 21,37 of 97,3 of 10,2 of 2
UFC 231: Holloway vs. Ortega,Alex Oliveira ,Gunnar Nelson ,Welterweight Bout, Submission ,2,4:17,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,Alex Oliveira ,0,36,49,73%,52 of 69,0,2,0%,0,1,3:06,27 of 40,6 of 6,3 of 3,3 of 4,9 of 9,24 of 36,Gunnar Nelson ,0,11,11,100%,20 of 20,2,5,40%,1,0,4:42,10 of 10,1 of 1,0 of 0,1 of 1,1 of 1,9 of 9
UFC 231: Holloway vs. Ortega,Joanna Jedrzejczyk ,Valentina Shevchenko ,UFC Women's Flyweight Title Bout, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Todd Ronald Anderson,Benoit Roussel 46 - 49. Eric Colon 46 - 49. Jason Rodgers 46 - 49.,Valentina Shevchenko ,0,89,191,46%,118 of 223,5,14,35%,0,0,8:14,35%,25 of 61,0 of 1,0%,0,0,Joanna Jedrzejczyk ,0,78,250,31%,124 of 300,0,0,---,0,0,0:17,33%,48 of 89,0 of 0,---,0,0
UFC 231: Holloway vs. Ortega,Brian Ortega ,Max Holloway ,UFC Featherweight Title Bout, TKO - Doctor's Stoppage ,4,5:00,5 Rnd (5-5-5-5-5),Yves Lavigne,,Max Holloway ,0,290,490,59%,307 of 507,1,1,100%,0,0,0:16,68%,141 of 203,1 of 1,100%,0,0,Brian Ortega ,0,110,292,37%,112 of 294,2,11,18%,0,0,2:25,51%,28 of 54,0 of 5,0%,0,0
UFC Fight Night: Rozenstruik vs. Gane,Vince Cachero ,Ronnie Lawrence ,Bantamweight Bout, KO/TKO ,3,2:38,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground,Vince Cachero ,0,15,46,32%,23 of 55,0,2,0%,1,1,0:36,8 of 36,3 of 6,4 of 4,10 of 38,5 of 7,0 of 1,Ronnie Lawrence ,0,77,121,63%,102 of 151,8,9,88%,0,0,7:49,53 of 89,14 of 19,10 of 13,22 of 46,5 of 7,50 of 68
UFC Fight Night: Rozenstruik vs. Gane,Sabina Mazo ,Alexis Davis ,Women's Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Tony Weeks 27 - 30. Derek Cleary 26 - 30.,Alexis Davis ,0,49,83,59%,128 of 196,3,3,100%,0,0,8:50,8 of 37,4 of 5,37 of 41,46 of 78,0 of 0,3 of 5,Sabina Mazo ,0,64,165,38%,71 of 173,0,1,0%,0,0,0:00,50 of 149,5 of 7,9 of 9,64 of 165,0 of 0,0 of 0
UFC Fight Night: Rozenstruik vs. Gane,Alexander Hernandez ,Thiago Moises ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 27 - 30. Dave Hagen 27 - 30. Ron McCarthy 28 - 29.,Alexander Hernandez ,0,50,205,24%,50 of 205,0,0,---,0,0,0:00,15 of 152,18 of 33,17 of 20,50 of 204,0 of 1,0 of 0,Thiago Moises ,0,53,183,28%,53 of 183,0,1,0%,0,0,0:00,36 of 155,5 of 11,12 of 17,53 of 183,0 of 0,0 of 0
